Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Hybrid Merge Sort
100,0.0029544830322265625,0.0,0.0027256011962890625,0.0010449886322021484,0.0
1000,0.1294269561767578,0.0,0.05665707588195801,0.0030395984649658203,0.0
5000,2.0969929695129395,0.0019283294677734375,1.215583324432373,0.017783164978027344,0.014467477798461914
10000,12.6599862575531,0.0033109188079833984,4.691085577011108,0.025089025497436523,0.03333616256713867
20000,42.72194743156433,0.008668184280395508,18.301437377929688,0.17061495780944824,0.19978094100952148
30000,113.13886451721191,0.007596254348754883,42.61911988258362,0.11523103713989258,0.14329934120178223
40000,200.03879928588867,0.014855384826660156,85.3967604637146,0.1379544734954834,0.2526063919067383
50000,275.86149644851685,0.03224778175354004,165.21735453605652,0.17189979553222656,0.17820310592651367
60000,722.4249339103699,0.02647852897644043,249.1537172794342,0.23453927040100098,0.24214506149291992
100000,1744.9530744552612,0.04115009307861328,1987.15514087677,0.2967529296875,0.292752742767334
