,Product Title,Stars,SalePrice,status,imageURL
0,"
                MISS ROSE Makeup Set - Multi-colored Eyeshadow Palette Blush Contour And Compact Powder
              ",,"
          Rs.2,600.00 PKR
        ",,
1,"
                Miss Rose 2 in 1 Blush On (Gold Packing)
              ",,"
          Rs.410.00 PKR
        ",,
2,"
                Miss Rose 6-Color Blush (New)
              ",,"
          Rs.799.00 PKR
        ",,
3,"
                Miss Rose Vibrant Hues Blush (03)
              ",,"
          Rs.350.00 PKR
        ",,
4,"
                Miss Rose Fashion Blush
              ",,"
          Rs.399.00 PKR
        ",,
5,"
                Miss Rose Professional Fashion Blush
              ",,"
          Rs.499.00 PKR
        ",,
6,"
                Miss Rose Professional Fashion Blush (03)
              ",,"
          Rs.446.00 PKR
        ",,
7,"
                Miss Rose Professional Fashion Blush (3)
              ",,"
          Rs.350.00 PKR
        ",,
8,"
                CVB Blush & Contour Kit
              ",,"
          Rs.1,350.00 PKR
        ",,
9,"
                Sheglam Snatch ‘N’ Blush Stick
              ",,"
          Rs.799.00 PKR
        ",,
